data,descricao,valor,tipo,categoria,numero_documento,saldo_anterior,saldo_posterior
2025-11-01,PAGAMENTO FORNECEDOR TECNOLOGIA,2500.50,debito,Fornecedores,TEC20251101001,10000.00,7499.50
2025-11-01,RECEBIMENTO CLIENTE PREMIUM,2500.00,credito,Recebimentos,PRE20251101001,7499.50,9999.50
2025-11-01,TRANSFERENCIA ENTRE CONTAS,1500.75,debito,Transferencias,TRF20251101001,9999.50,8498.75
2025-11-02,PAGAMENTO DUPLICATA ATRASADA,890.30,debito,Pagamentos,DUP20251102001,8498.75,7608.45
2025-11-02,RECEBIMENTO DUPLICATA CLIENTE,890.00,credito,Recebimentos,DUP20251102002,7608.45,8498.45
2025-11-03,COMPRA EQUIPAMENTO INFORMATICA,3200.00,debito,Equipamentos,EQI20251103001,8498.45,5298.45
2025-11-03,ESTORNO PAGAMENTO INDEVIDO,150.00,credito,Estornos,EST20251103001,5298.45,5448.45
2025-11-04,APLICACAO INVESTIMENTO,5000.00,debito,Investimentos,INV20251104001,5448.45,448.45
2025-11-04,JUROS CONTA CORRENTE,8.75,credito,Juros,JUR20251104001,448.45,457.20
2025-11-05,SAQUE CAIXA ELETRONICO,300.00,debito,Saques,SAQ20251105001,457.20,157.20
2025-11-05,DEPOSITO VENDAS DINHEIRO,750.25,credito,Depositos,VEN20251105001,157.20,907.45
2025-11-06,PAGAMENTO CARTAO CORPORATIVO,1250.80,debito,Cartao Corporativo,CAR20251106001,907.45,-343.35
2025-11-06,EMPRESTIMO CAPITAL GIRO,10000.00,credito,Emprestimos,EMP20251106001,-343.35,9656.65
2025-11-07,PAGAMENTO IMPOSTOS FEDERAIS,1800.00,debito,Impostos,IMP20251107001,9656.65,7856.65
2025-11-07,RECEBIMENTO NOTA FISCAL,1799.50,credito,Vendas,NFE20251107001,7856.65,9656.15
