data,descricao,valor,tipo,categoria,numero_documento,saldo_anterior,saldo_posterior
2025-10-28,PAGAMENTO PIX EMPRESA ABC LTDA,1250.00,debito,Pagamentos,PIX20251028001,15000.00,13750.00
2025-10-28,TED RECEBIDA DE CLIENTE XYZ,3500.00,credito,Recebimentos,TED20251028001,13750.00,17250.00
2025-10-28,PAGAMENTO FORNECEDOR MATERIAIS,850.75,debito,Fornecedores,BOL20251028001,17250.00,16399.25
2025-10-28,DEPOSITO EM ESPECIE,500.00,credito,Depositos,DEP20251028001,16399.25,16899.25
2025-10-28,TARIFA BANCARIA MENSAL,25.90,debito,Tarifas,TAR20251028001,16899.25,16873.35
2025-10-29,PAGAMENTO SALARIOS FUNCIONARIOS,4200.00,debito,Folha de Pagamento,SAL20251029001,16873.35,12673.35
2025-10-29,RECEBIMENTO VENDAS CARTAO,1890.50,credito,Vendas,CAR20251029001,12673.35,14563.85
2025-10-29,PAGAMENTO ENERGIA ELETRICA,320.45,debito,Utilidades,ENE20251029001,14563.85,14243.40
2025-10-29,TRANSFERENCIA PARA POUPANCA,1000.00,debito,Transferencias,TRA20251029001,14243.40,13243.40
2025-10-29,JUROS CREDITOS CONTA CORRENTE,12.35,credito,Juros,JUR20251029001,13243.40,13255.75
2025-10-30,PAGAMENTO ALUGUEL ESCRITORIO,2800.00,debito,Alugueis,ALU20251030001,13255.75,10455.75
2025-10-30,RECEBIMENTO CLIENTE SERVICOS,2150.00,credito,Servicos,SER20251030001,10455.75,12605.75
2025-10-30,COMPRA MATERIAL ESCRITORIO,180.25,debito,Material de Escritorio,MAT20251030001,12605.75,12425.50
2025-10-30,REEMBOLSO SEGURO,450.00,credito,Reembolsos,SEG20251030001,12425.50,12875.50
2025-10-30,PAGAMENTO INTERNET TELEFONE,155.80,debito,Comunicacao,INT20251030001,12875.50,12719.70
2025-10-31,SAQUE ATM EMERGENCIA,200.00,debito,Saques,SAQ20251031001,12719.70,12519.70
2025-10-31,DEPOSITO CHEQUE TERCEIROS,780.00,credito,Depositos,CHE20251031001,12519.70,13299.70
2025-10-31,PAGAMENTO COMBUSTIVEL VEICULOS,380.90,debito,Combustivel,COM20251031001,13299.70,12918.80
2025-10-31,IOF SOBRE OPERACOES,5.25,debito,Impostos,IOF20251031001,12918.80,12913.55
2025-10-31,RENDIMENTO APLICACAO CDB,95.40,credito,Investimentos,CDB20251031001,12913.55,13008.95
2025-10-31,TRANSACAO ORFAO NO EXTRATO,999.99,debito,Orfaos,ORFAO001,13008.95,12008.96
2025-10-31,PAGAMENTO DUPLICADO TESTE,750.00,debito,Duplicatas,DUP001,12008.96,11258.96
2025-10-31,PAGAMENTO DUPLICADO TESTE,750.00,debito,Duplicatas,DUP001,11258.96,10508.96
