data,descricao,valor,tipo,categoria,numero_documento,saldo_anterior,saldo_posterior
2025-11-15,PAGAMENTO DUPLICADO FORNECEDOR,1200.00,debito,Fornecedores,DUP20251115001,5000.00,3800.00
2025-11-15,PAGAMENTO DUPLICADO FORNECEDOR,1200.00,debito,Fornecedores,DUP20251115001,3800.00,2600.00
2025-11-16,RECEBIMENTO CLIENTE EMPRESA A,2500.25,credito,Recebimentos,CLI20251116001,2600.00,5100.25
2025-11-16,RECEBIMENTO CLIENTE EMPRESA A,2500.25,credito,Recebimentos,CLI20251116002,5100.25,7600.50
2025-11-17,TRANSFERENCIA CONTA POUPANCA,1000.00,debito,Transferencias,TRF20251117001,7600.50,6600.50
2025-11-17,ESTORNO TRANSFERENCIA,1000.00,credito,Estornos,TRF20251117001,6600.50,7600.50
2025-11-18,PAGAMENTO CARTAO CREDITO,850.75,debito,Cartao Credito,CAR20251118001,7600.50,6749.75
2025-11-18,CASHBACK CARTAO CREDITO,42.54,credito,Cashback,CAR20251118001,6749.75,6792.29
2025-11-19,COMPRA MATERIAL PROMOCIONAL,299.99,debito,Marketing,MAR20251119001,6792.29,6492.30
2025-11-19,COMPRA MATERIAL PROMOCIONAL,300.01,debito,Marketing,MAR20251119002,6492.30,6192.29
2025-11-20,JUROS MORA CLIENTE,15.75,credito,Juros,JUR20251120001,6192.29,6208.04
2025-11-20,DESCONTO PONTUALIDADE,15.75,debito,Descontos,DESC20251120001,6208.04,6192.29
