data,descricao,valor,tipo,categoria,numero_documento,centro_custo,conta_contabil,fornecedor_cliente
2025-08-15,PAGAMENTO FORNECEDOR TESTE 1,1200.50,debito,Fornecedores,TEST001,CC101,2.01.010,FORNECEDOR TESTE 1
2025-08-16,RECEBIMENTO CLIENTE TESTE A,2800.00,credito,Vendas,TESTA01,CC102,1.01.010,CLIENTE TESTE A
2025-08-17,TAXA SERVICO ESPECIAL,89.90,debito,Taxas Bancarias,SRV001,CC103,3.05.010,BANCO ESPECIAL
2025-08-19,PAGAMENTO DUPLICATA VENCIDA,3200.00,debito,Fornecedores,DUP001,CC101,2.01.011,FORNECEDOR DUP
2025-08-20,RECEBIMENTO PARCELADO,950.25,credito,Vendas,PAR001,CC102,1.01.011,CLIENTE PARCELADO
2025-08-21,COMPRA MATERIAIS DIVERSOS,750.80,debito,Material Consumo,MAT001,CC104,3.03.010,FORNECEDOR MAT
2025-08-22,JUROS APLICACAO ESPECIAL,125.60,credito,Receitas Financeiras,JUR002,CC105,4.01.010,BANCO JUROS
2025-08-23,PAGAMENTO SERVICO CONTRATADO,1800.00,debito,Servicos Terceiros,CON002,CC106,3.07.010,EMPRESA SERVICOS
2025-08-24,RECEBIMENTO EXPORTACAO,5600.00,credito,Vendas,EXP001,CC102,1.01.012,CLIENTE EXPORTACAO
2025-08-30,LANCAMENTO SEM EXTRATO CORRESPONDENTE,1234.56,debito,Despesas Operacionais,SEM001,CC107,3.02.010,FORNECEDOR INEXISTENTE
2025-08-31,VALOR DIFERENTE DO EXTRATO,1500.00,credito,Depositos,DIF001,CC108,1.01.013,VALOR DIVERGENTE
2025-08-18,DATA DIVERGENTE DEPOSITO,1500.75,credito,Depositos,DEPB01,CC109,1.01.014,CLIENTE B
2025-08-15,DUPLICATA CONTABIL,999.99,credito,Erros Sistema,ERR002,CC999,9.99.998,SISTEMA CONTABIL
