Data,Valor,Descricao,Documento
2025-09-01,1500.00,PAGAMENTO FORNECEDOR ABC LTDA,001
2025-09-01,-250.00,TAXA BANCARIA SETEMBRO,002
2025-09-02,3200.00,TRANSFERENCIA RECEBIDA CLIENTE XYZ,003
2025-09-02,-800.00,PAGAMENTO FUNCIONARIOS,004
2025-09-03,950.00,VENDA PRODUTO A - NOTA 12345,005
2025-09-03,-120.00,IOF SOBRE OPERACAO,006
2025-09-04,2100.00,RECEBIMENTO CLIENTE ABC,007
2025-09-04,-450.00,PAGAMENTO ALUGUEL SETEMBRO,008
2025-09-05,750.00,VENDA SERVICO B - NOTA 12346,009
2025-09-05,-89.50,TARIFA TRANSFERENCIA TED,010
2025-09-06,1800.00,DEPOSITO EM DINHEIRO,011
2025-09-06,-300.00,PAGAMENTO ENERGIA ELETRICA,012
2025-09-07,650.00,RECEBIMENTO PARCELADO CLIENTE DEF,013
2025-09-07,-150.00,PAGAMENTO TELEFONE,014
2025-09-08,2200.00,TRANSFERENCIA MATRIZ,015
2025-09-08,-99.99,ERRO SISTEMA BANCARIO - ESTORNO,016
2025-09-09,555.55,LANCAMENTO NAO IDENTIFICADO,017
