Data,Valor,Descricao,Documento
2025-08-28,500.00,RECEBIMENTO CLIENTE PENDENTE AGOSTO,REC_AGO_001
2025-08-29,1200.00,VENDA EQUIPAMENTO - NOTA 11890,NF11890
2025-08-30,-350.00,PAGAMENTO FORNECEDOR MATERIAL,PAG_AGO_001
2025-08-31,-180.00,TAXA MANUTENCAO CONTA AGOSTO,TAX_AGO_001
2025-09-01,1500.00,PAGAMENTO FORNECEDOR ABC LTDA,PAG_001
2025-09-01,-250.00,TAXA BANCARIA SETEMBRO,TAX_001
2025-09-02,3200.00,TRANSFERENCIA CLIENTE XYZ,TRA_001
2025-09-02,-800.00,SALARIOS SETEMBRO,SAL_001
2025-09-03,950.00,VENDA PRODUTO A,VEN_001
2025-09-03,-120.00,IOF SETEMBRO,IOF_001
2025-09-04,2100.00,RECEBIMENTO CLIENTE ABC,REC_001
2025-09-04,-450.00,ALUGUEL SETEMBRO,ALU_001
2025-09-05,750.00,SERVICOS PRESTADOS,SER_001
2025-09-05,-89.50,TARIFA TED,TAR_001
2025-09-06,1800.00,DEPOSITO CAIXA,DEP_001
2025-09-06,-300.00,ENERGIA SETEMBRO,ENE_001
2025-09-07,650.00,CLIENTE DEF PARCELA 1,CLI_001
2025-09-07,-150.00,TELEFONE SETEMBRO,TEL_001
2025-09-08,2200.00,MATRIZ TRANSFERENCIA,MAT_001
2025-09-09,400.00,VENDA EXTRA PRODUTO B,VEN_002
2025-09-10,-95.00,COMBUSTIVEL VEICULOS,COM_001
