Data,Valor,Descricao,Categoria
2025-09-01,1500.00,PAGAMENTO FORNECEDOR ABC LTDA,Despesa
2025-09-01,-250.00,TAXA BANCARIA SETEMBRO,Despesa
2025-09-02,3200.00,TRANSFERENCIA RECEBIDA CLIENTE XYZ,Receita
2025-09-02,-700.00,PAGAMENTO FUNCIONARIOS VALOR DIFERENTE,Despesa
2025-09-03,850.00,VENDA PRODUTO A - VALOR DIFERENTE,Receita
2025-09-03,-120.00,IOF SOBRE OPERACAO,Despesa
2025-09-04,2100.00,RECEBIMENTO CLIENTE ABC,Receita
2025-09-04,-450.00,PAGAMENTO ALUGUEL SETEMBRO,Despesa
2025-09-05,650.00,VENDA SERVICO B - VALOR DIFERENTE,Receita
2025-09-05,-89.50,TARIFA TRANSFERENCIA TED,Despesa
2025-09-06,1800.00,DEPOSITO EM DINHEIRO,Receita
2025-09-06,-280.00,PAGAMENTO ENERGIA - VALOR DIFERENTE,Despesa
2025-09-07,650.00,RECEBIMENTO PARCELADO CLIENTE DEF,Receita
2025-09-07,-150.00,PAGAMENTO TELEFONE,Despesa
2025-09-08,2200.00,TRANSFERENCIA MATRIZ,Receita
2025-09-09,400.00,LANCAMENTO EXTRA SEM CORRESPONDENCIA,Receita
