Data,Valor,Descricao,Documento
2025-09-01,1500.00,FORNECEDOR ABC LTDA - COMPRA MATERIAIS,COMP_001
2025-09-01,-250.00,TAXA MANUTENCAO CONTA CORRENTE,TAX_001
2025-09-02,3200.00,CLIENTE XYZ - PRESTACAO SERVICOS,SER_001
2025-09-02,-800.00,FOLHA PAGAMENTO COLABORADORES,FOL_001
2025-09-03,950.00,VENDA MERCADORIAS - LOJA,VEN_001
2025-09-03,-120.00,IMPOSTO IOF OPERACOES,IMP_001
2025-09-04,2100.00,CLIENTE ABC - PAGAMENTO A VISTA,PAG_001
2025-09-04,-450.00,DESPESA ALUGUEL IMOVEL,DES_001
2025-09-05,750.00,CONSULTORIA EMPRESARIAL,CON_001
2025-09-05,-89.50,TARIFA TRANSFERENCIA BANCARIA,TAR_001
2025-09-06,1800.00,DEPOSITO NUMERARIO CAIXA,DEP_001
2025-09-06,-300.00,CONTA LUZ E FORCA,CON_001
2025-09-07,650.00,CLIENTE DEF - PRIMEIRA PARCELA,PAR_001
2025-09-07,-150.00,COMUNICACAO TELEFONICA,COM_001
2025-09-08,2200.00,APORTE CAPITAL MATRIZ,CAP_001
2025-09-08,-75.00,MANUTENCAO EQUIPAMENTOS,MAN_001
2025-09-09,320.00,RECEITA EXTRA VENDAS,EXT_001
2025-09-10,-45.00,MATERIAL ESCRITORIO,MAT_001
