Data,Valor,Descricao,Documento
2025-09-01,1500.00,PAGAMENTO FORNECEDOR ABC LTDA - NOTA FISCAL 001,NF001
2025-09-01,-250.00,TAXA BANCARIA MES SETEMBRO,TAX001
2025-09-02,3200.00,RECEBIMENTO CLIENTE XYZ SERVICOS LTDA,REC001
2025-09-02,-800.00,FOLHA PAGAMENTO FUNCIONARIOS SETEMBRO,FP001
2025-09-03,950.00,VENDA PRODUTO A - NOTA FISCAL 12345,NF12345
2025-09-03,-120.00,IOF SOBRE OPERACAO CREDITO,IOF001
2025-09-04,2100.00,RECEBIMENTO CLIENTE ABC COMERCIO,REC002
2025-09-04,-450.00,ALUGUEL ESCRITORIO SETEMBRO 2025,ALU001
2025-09-05,750.00,PRESTACAO SERVICOS CONSULTORIA - NF 12346,NF12346
2025-09-05,-89.50,TARIFA TED TRANSFERENCIA BANCARIA,TAR001
2025-09-06,1800.00,DEPOSITO DINHEIRO CAIXA,DEP001
2025-09-06,-300.00,CONTA ENERGIA ELETRICA SETEMBRO,ENE001
2025-09-07,650.00,PARCELA 1/3 CLIENTE DEF INDUSTRIA,PAR001
2025-09-07,-150.00,CONTA TELEFONE FIXO E INTERNET,TEL001
2025-09-08,2200.00,TRANSFERENCIA RECEBIDA DA MATRIZ,TRA001
2025-09-08,-75.00,MANUTENCAO SISTEMA BANCARIO,MAN001
