Data,Descrição,Valor,Tipo,Numero_Documento
2025-10-01,Recebimento PIX Cliente João,1500.00,credito,PIX001
2025-10-01,Entrada Caixa Loja,800.00,credito,DEP002
2025-10-01,Pagamento Fornecedor ABC,650.00,debito,PAG003
2025-10-02,Recebimento TED Empresa XYZ,2500.00,credito,TED004
2025-10-02,Taxa DOC,12.00,debito,TAR005
2025-10-02,Pagamento PIX Cliente Maria,300.00,debito,PIX006
2025-10-03,Deposito Cheque Empresa,950.00,credito,CHE007
2025-10-03,Conta Energia Eletrica,160.00,debito,BOL008
2025-10-04,Retirada Caixa ATM,200.00,debito,SAQ010
2025-10-04,Venda PIX Loja Virtual,750.00,credito,PIX011
2025-10-04,Taxa Manutencao Conta,35.00,debito,TAX012
2025-10-05,Receita Cliente Pedro,1800.00,credito,DEP013
2025-10-05,Comissao Vendas,420.00,credito,COM014
2025-10-06,Aluguel Escritorio,1200.00,debito,ALU015
2025-10-06,Servicos Contabeis,500.00,debito,SER016
